"ano do óbito";"Mas";"Fem";"Ign";"Total"
"2000";8983;7242;130;16355
"2001";9741;7905;127;17773
"2002";10127;8186;114;18427
"2003";9748;7712;137;17597
"2004";9758;7830;122;17710
"2005";10665;8165;100;18930
"2006";11101;8483;71;19655
"2007";11560;8564;69;20193
"2008";12121;8626;55;20802
"2009";12543;9047;65;21655
"2010";12727;9289;61;22077
"2011";12517;9554;64;22135
"2012";12727;9551;90;22368
"2013";12560;9569;65;22194
"2014";12923;9873;81;22877
"2015";12881;10217;71;23169
"2016";12570;9675;56;22301
"2017";13235;10426;73;23734
"2018";12553;10090;58;22701
"2019";12925;10781;51;23757
